hour,clear_ghi,clear_dni,clear_dhi,cloudy_ghi,cloudy_dni,cloudy_dhi
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,41.5,202.08,24.51,38.58,122.69,22.66
8,267.53,637.04,72.89,179.67,250.26,111.84
9,531.16,804.76,98.07,143.81,1.37,142.95
10,767.4,890.12,113.87,230.06,14.77,219.14
11,948.76,937.5,123.75,284.43,11.65,274.03
12,1057.39,961.09,129.03,307.16,13.75,293.75
13,1083.31,966.39,130.19,298.12,13.32,284.85
14,1024.16,954.39,127.36,272.41,11.8,261.2
15,885.24,922.49,120.34,221.31,7.08,215.34
16,679.67,862.78,108.34,169.92,3.8,167.17
17,428.61,753.76,89.53,107.15,0.0,107.15
18,165.94,515.9,58.11,41.49,0.0,41.49
19,5.94,44.57,6.02,1.49,0.0,1.49
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
