dt,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,rain.3h,sys.pod,weather_id,weather_main,weather_description,weather_icon
1717146000,10000,0.64,2024-05-31 09:00:00,34.81,41.81,30.41,34.81,1007,1007,1005,70,4.4,20,3.24,144,5.42,0.16,d,500,Rain,light rain,10d
1717156800,10000,0.78,2024-05-31 12:00:00,32.33,39.33,27.36,32.33,1007,1007,1007,75,4.97,47,1.63,132,2.48,0.72,n,500,Rain,light rain,10n
1717167600,5625,1.0,2024-05-31 15:00:00,28.73,35.04,25.69,28.73,1010,1010,1009,85,3.04,70,1.11,141,1.45,3.64,n,501,Rain,moderate rain,10n
1717178400,5920,1.0,2024-05-31 18:00:00,24.67,25.7,24.67,24.67,1010,1010,1009,96,0.0,98,0.24,156,0.97,6.88,n,501,Rain,moderate rain,10n
1717189200,3898,1.0,2024-05-31 21:00:00,24.48,25.54,24.48,24.48,1010,1010,1009,98,0.0,100,2.1,325,4.79,8.24,n,501,Rain,moderate rain,10n
1717200000,4871,1.0,2024-06-01 00:00:00,24.04,25.03,24.04,24.04,1012,1012,1011,97,0.0,100,3.64,340,8.23,6.44,d,501,Rain,moderate rain,10d
1717210800,10000,0.69,2024-06-01 03:00:00,25.94,26.84,25.94,25.94,1013,1013,1011,86,0.0,100,3.23,344,6.93,0.35,d,500,Rain,light rain,10d
1717221600,10000,0.55,2024-06-01 06:00:00,29.07,32.69,29.07,29.07,1010,1010,1009,69,0.0,100,2.54,300,3.68,,d,804,Clouds,overcast clouds,04d
1717232400,10000,0.09,2024-06-01 09:00:00,28.55,32.61,28.55,28.55,1009,1009,1008,75,0.0,100,1.75,277,1.99,,d,804,Clouds,overcast clouds,04d
1717243200,10000,0.39,2024-06-01 12:00:00,26.04,26.04,26.04,26.04,1011,1011,1010,86,0.0,100,1.43,119,1.52,0.14,n,500,Rain,light rain,10n
1717254000,10000,0.59,2024-06-01 15:00:00,24.87,25.87,24.87,24.87,1014,1014,1012,94,0.0,100,1.73,130,4.09,0.87,n,500,Rain,light rain,10n
1717264800,10000,0.55,2024-06-01 18:00:00,24.46,25.42,24.46,24.46,1012,1012,1011,94,0.0,100,1.3,117,2.67,,n,804,Clouds,overcast clouds,04n
1717275600,10000,0.21,2024-06-01 21:00:00,24.14,25.06,24.14,24.14,1011,1011,1009,94,0.0,100,1.22,156,2.8,,n,804,Clouds,overcast clouds,04n
1717286400,10000,0.27,2024-06-02 00:00:00,24.23,25.16,24.23,24.23,1012,1012,1010,94,0.0,100,1.46,126,3.93,,d,804,Clouds,overcast clouds,04d
